["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["gypsine","Gypseous. [R.] Chambers."]
["entoperipheral","Being, or having its origin, within the external surface of the body; -- especially applied to feelings, such as hunger, produced by internal disturbances. Opposed to epiperipheral."]
["condoler","One who condoles."]
["beech tree","The beech."]
["glaverer","A flatterer. [Obs.] Mir. for Mag."]
["deltoid","Shaped like the Greek Deltoid leaf (Bot.), a leaf in the form of a triangle with the stem inserted at the middle of the base. -- Deltoid muscle (Anat.), a triangular muscle in the shoulder which serves to move the arm directly upward."]
["aggregately","Collectively; in mass."]
["lineup","The formation of football players before the start or a restart of play; hence (Colloq.),  any arrangement of persons (rarely, of things), esp. when having a common purpose or sentiment; as, the line-up at a ticket- office window; the line-up of political factions."]
["agley","Aside; askew. [Scotch] Burns."]
["choragus","A chorus leader; esp. one who provided at his own expense and under his own supervision one of the choruses for the musical contents at Athens."]
["myriological","Of or relating to a myriologue."]
["awsome","Same as Awesome."]
["nephralgia","Neuralgia of the kidneys; a disease characterized by pain in the region of the kidneys without any structural lesion of the latter. Quain."]
["osteoid","Resembling bone; bonelike."]
["cantillate","To chant; to recite with musical tones. M. Stuart."]
["imprimis","In the first place; first in order."]
["planishing","a. & vb. n. from Planish, v. t. Planishing rolls (Coining), rolls between which metal strips are passed while cold, to bring them to exactly the required thickness."]
["stifled","Stifling. The close and stifled study. Hawthorne."]
["paganize","To render pagan or heathenish; to convert to paganism. Hallywell.\n\nTo behave like pagans. Milton."]
["tickleness","Unsteadiness. [Obs.] For hoard hath hate, and climbing tickleness. Chaucer."]
["vibrator","(a) (Elec.) (1)  A trembler, as of an electric bell. (2)  A vibrating reed for transmitting or receiving pulsating currents in a harmonic telegraph system. (3)  A device for vibrating the pen of a siphon recorder to diminish frictional resistance on the paper. (4) An oscillator. (b) An ink-distributing roller in a printing machine, having an additional vibratory motion. (a) (Music) A vibrating reed, esp. in a reed organ. (d) (Weaving) Any of various vibrating devices, as one for slackening the warp as a shed opens. (e) An attachment, usually pneumatic, in a molding machine to shake the pattern loose."]
["fracted","Having a part displaced, as if broken; -- said of an ordinary. Macaulay."]
["armrack","A frame, generally vertical, for holding small arms."]
["kinematics","The science which treats of motions considered in themselves, or apart from their causes; the comparison and relation of motions. Note: Kinematics forms properly an introduction to mechanics, as involving the mathematical principles which are to be applied to its data of forces. Nichol."]
["brewing","1. The act or process of preparing liquors which are brewed, as beer and ale. 2. The quantity brewed at once. A brewing of new beer, set by old beer. Bacon. 3. A mixing together. I am not able to avouch anything for certainty, such a brewing and sophistication of them they make. Holland. 4. (Naut.)  A gathering or forming of a storm or squall, indicated by thick, dark clouds."]
["illaqueate","To insnare; to entrap; to entangle; to catch. Let not the surpassing eloquence of Taylor dazzle you, nor his scholastic retairy versatility of logic illaqueate your good sense. Coleridge."]
["whiteflaw","A whitlow. [Obs.] Holland."]
["registering","Recording; -- applied to instruments; having an apparatus which registers; as, a registering thermometer. See Recording."]
["compeller","One who compels or constrains."]
["prefigurement","The act of prefiguring; prefiguration; also, that which is prefigured. Carlyle."]
["tranquilness","Quality or state of being tranquil."]
["rampier","See Rampart. [Obs.]"]
["behete","See Behight. [Obs.] Chaucer."]
["carbonaceous","Pertaining to, containing, or composed of, carbon."]
["gaffle","1. An artificial spur or gaff for gamecocks. 2. A lever to bend crossbows."]
["disband","1. To loose the bands of; to set free; to disunite; to scatter; to disperse; to break up the organization of; especially, to dismiss from military service; as, to disband an army. They disbanded themselves and returned, every man to his own dwelling. Knolles. 2. To divorce. [Obs.] And therefore . . . she ought to be disbanded. Milton.\n\nTo become separated, broken up, dissolved, or scattered; especially, to quit military service by breaking up organization. When both rocks and all things shall disband. Herbert. Human society would in a short space disband. Tillotson."]
["curacoa","A liqueur, or cordial, flavored with orange peel, cinnamon, and mace; -- first made at the island of Curaçcao."]
["reinvigorate","To invigorate anew."]
["gobbler","A turkey cock; a bubbling Jock."]
["erroneous","1. Wandering; straying; deviating from the right course; -- hence, irregular; unnatural. [Obs.] \"Erroneous circulation.\" Arbuthnot. Stopped much of the erroneous light, which otherwise would have disturbed the vision. Sir I. Newman. 2. Misleading; misled; mistaking. [Obs.] An erroneous conscience commands us to do what we ought to omit. Jer. Taylor. 3. Containing error; not conformed to truth or justice; incorrect; false; mistaken; as, an erroneous doctrine; erroneous opinion, observation, deduction, view, etc. -- Er*ro\"ne*ous*ly, adv. -- Er*ro\"ne*ous*ness, n."]
["colcothar","Polishing rouge; a reddish brown oxide of iron, used in polishing glass, and also as a pigment; -- called also crocus Martis."]
["hyposternum","See Hypoplastron."]
["subterrane","A cave or room under ground. [R.] J. Bryant."]
["commutableness","The quality of being commutable; interchangeableness."]
["deplorably","In a deplorable manner."]
["beseemly","Fit; suitable; becoming. [Archaic] In beseemly order sitten there. Shenstone."]
["rhinocerotic","Of or pertaining to the rhinoceros. [R.]"]
["epiphytic","Pertaining to, or having the nature of, an epiphyte. -- Ep`i*phyt\"ic*al*ly, adv."]
["seatless","Having no seat."]
["caking coal","See Coal."]
["desquamation","The separation or shedding of the cuticle or epidermis in the form of flakes or scales; exfoliation, as of bones."]
["leaf","1. (Bot.)  A colored, usually green, expansion growing from the side of a stem or rootstock, in which the sap for the use of the plant is elaborated under the influence of light; one of the parts of a plant which collectively constitute its foliage. Note: Such leaves usually consist of a blade, or lamina , supported upon a leafstalk or petiole, which, continued through the blade as the midrib, gives off woody ribs and veins that support the cellular texture. The petiole has usually some sort of an appendage on each side of its base, which is called the stipule. The green parenchyma of the leaf is covered with a thin epiderm pierced with closable microscopic openings, known as stomata. 2. (Bot.)  A special organ of vegetation in the form of a lateral outgrowth from the stem, whether appearing as a part of the foliage, or as a cotyledon, a scale, a bract, a spine, or a tendril. Note: In this view every part of a plant, except the root and the stem, is either a leaf, or is composed of leaves more or less modified and transformed. 3. Something which is like a leaf in being wide and thin and having a flat surface, or in being attached to a larger body by one edge or end; as : (a) A part of a book or folded sheet containing two pages upon its opposite sides. (b) A side, division, or part, that slides or is hinged, as of window shutters, folding doors, etc. (c) The movable side of a table. (d) A very thin plate; as, gold leaf. (e) A portion of fat lying in a separate fold or layer. (f) One of the teeth of a pinion, especially when small. Leaf beetle (Zoöl.), any beetle which feeds upon leaves; esp., any species of the family Chrysomelidæ, as the potato beetle and helmet beetle. -- Leaf bridge, a draw-bridge having a platform or leaf which swings vertically on hinges. -- Leaf bud (Bot.), a bud which develops into leaves or a leafy branch. -- Leaf butterfly (Zoöl.), any butterfly which, in the form and colors of its wings, resembles the leaves of plants upon which it rests; esp., butterflies of the genus Kallima, found in Southern Asia and the East Indies. -- Leaf crumpler (Zoöl.), a small moth (Phycis indigenella), the larva of which feeds upon leaves of the apple tree, and forms its nest by crumpling and fastening leaves together in clusters. -- Leaf cutter (Zoöl.) , any one of various species of wild bees of the genus Megachile, which cut rounded pieces from the edges of leaves, or the petals of flowers, to be used in the construction of their nests, which are made in holes and crevices, or in a leaf rolled up for the purpose. Among the common American species are M. brevis and M. centuncularis. Called also rose-cutting bee. -- Leaf fat, the fat which lies in leaves or layers within the body of an animal. -- Leaf flea (Zoöl.), a jumping plant louse of the family Psyllidæ. -- Leaf frog (Zoöl.), any tree frog of the genus Phyllomedusa. -- Leaf green.(Bot.) See Chlorophyll. -- Leaf hopper (Zoöl.), any small jumping hemipterous insect of the genus Tettigonia, and allied genera. They live upon the leaves and twigs of plants. See Live hopper. -- Leaf insect (Zoöl.), any one of several genera and species of orthopterous insects, esp. of the genus Phyllium, in which the wings, and sometimes the legs, resemble leaves in color and form. They are common in Southern Asia and the East Indies. -- Leaf lard, lard from leaf fat. See under Lard. -- Leaf louse (Zoöl.), an aphid. -- Leaf metal, metal in thin leaves, as gold, silver, or tin. -- Leaf miner (Zoöl.), any one of various small lepidopterous and dipterous insects, which, in the larval stages, burrow in and eat the parenchyma of leaves; as, the pear-tree leaf miner (Lithocolletis geminatella). -- Leaf notcher (Zoöl.), a pale bluish green beetle (Artipus Floridanus), which, in Florida, eats the edges of the leaves of orange trees. -- Leaf roller (Zoöl.), the larva of any tortricid moth which makes a nest by rolling up the leaves of plants. See Tortrix. -- Leaf scar (Bot.), the cicatrix on a stem whence a leaf has fallen. -- Leaf sewer (Zoöl.), a tortricid moth, whose caterpillar makes a nest by rolling up a leaf and fastening the edges together with silk, as if sewn; esp., Phoxopteris nubeculana, which feeds upon the apple tree. -- Leaf sight, a hinges sight on a firearm, which can be raised or folded down. -- Leaf trace (Bot.), one or more fibrovascular bundles, which may be traced down an endogenous stem from the base of a leaf. -- Leaf tier (Zoöl.), a tortricid moth whose larva makes a nest by fastening the edges of a leaf together with silk; esp., Teras cinderella, found on the apple tree. -- Leaf valve, a valve which moves on a hinge. -- Leaf wasp (Zoöl.), a sawfiy. -- To turn over a new leaf, to make a radical change for the better in one's way of living or doing. [Colloq.] They were both determined to turn over a new leaf. Richardson.\n\nTo shoot out leaves; to produce leaves; to leave; as, the trees leaf in May. Sir T. Browne."]
["many-sided","1. Having many sides; -- said of figures. Hence, presenting many questions or subjects for consideration; as, a many-sided topic. 2. Interested in, and having an aptitude for, many unlike pursuits or objects of attention; versatile. -- Ma\"ny-sid`ed*ness, n."]
["focillation","Comfort; support. [Obs.]"]
["pedograph","An instrument carried by a pedestrian for automatically making a topographical record of the ground covered during a journey."]
["bookcraft","Authorship; literary skill."]
["hygieist","A hygienist."]
["monorhina","The Marsipobranchiata."]
["immemorable","Not memorable; not worth remembering. Johnson."]
["enaliosaurian","Pertaining to the Enaliosauria. -- n.  One of the Enaliosauria."]
["entomological","Of or relating to entomology. -- En`to*mo*log\"ic*al*ly, adv."]
["oculary","Of or pertaining to the eye; ocular; optic; as, oculary medicines. Holland."]
["postsphenoid","Of or pertaining to the posterior part of the sphenoid bone."]
["bizantine","See Byzantine."]
["relocation","1. A second location. 2. (Roman & Scots Law)  Renewal of a lease."]
["scotch","Of or pertaining to Scotland, its language, or its inhabitants; Scottish. Scotch broom (Bot.), the Cytisus scoparius. See Broom. -- Scotch dipper, or Scotch duck (Zoöl.), the bufflehead; -- called also Scotch teal, and Scotchman. -- Scotch fiddle, the itch. [Low] Sir W. Scott. -- Scotch mist, a coarse, dense mist, like fine rain. -- Scotch nightingale (Zoöl.), the sedge warbler. [Prov. Eng.] -- Scotch pebble. See under pebble. -- Scotch pine (Bot.) See Riga fir. -- Scotch thistle (Bot.), a species of thistle (Onopordon acanthium); -- so called from its being the national emblem of the Scotch.\n\n1. The dialect or dialects of English spoken by the people of Scotland. 2. Collectively, the people of Scotland.\n\nTo shoulder up; to prop or block with a wedge, chock, etc., as a wheel, to prevent its rolling or slipping.\n\nA chock, wedge, prop, or other support, to prevent slipping; as, a scotch for a wheel or a log on inclined ground.\n\nTo cut superficially; to wound; to score. We have scotched the snake, not killed it. Shak. Scotched collops (Cookery), a dish made of pieces of beef or veal cut thin, or minced, beaten flat, and stewed with onion and other condiments; -- called also Scotch collops. [Written also scotcht collops.]\n\nA slight cut or incision; a score. Walton."]
["antitropous","At the extremity most remote from the hilum, as the embryo, or inverted with respect to the seed, as the radicle. Lindley."]
["swown","Swoon. [Obs.] Chaucer."]
["euryale","1. (Bot.)  A genus of water lilies, growing in India and China. The only species (E. ferox) is very prickly on the peduncles and calyx. The rootstocks and seeds are used as food. 2. (Zoöl)  A genus of ophiurans with much-branched arms."]
["confrontation","Act of confronting.  H. Swinburne."]
["venger","An avenger. [Obs.] Spenser."]
["feringee","The name given to Europeans by the Hindos. [Written also Feringhee.]"]
["piciform","Of or pertaining to Piciformes."]
["rebloom","To bloom again. Crabbe."]
["destructible","Liable to destruction; capable of being destroyed."]
["ridable","Suitable for riding; as, a ridable horse; a ridable road."]
["spiccato","Detached; separated; -- a term indicating that every note is to be performed in a distinct and pointed manner."]
["bather","One who bathes."]
["generative","Having the power of generating, propagating, originating, or producing. \"That generative particle.\" Bentley."]
["proteolytic","Converting proteid or albuminous matter into soluble and diffusible products, as peptones. \" The proteolytic ferment of the pancreas.\" Foster."]
["passion","1. A suffering or enduring of imposed or inflicted pain; any suffering or distress (as, a cardiac passion); specifically, the suffering of Christ between the time of the last supper and his death, esp. in the garden upon the cross. \"The passions of this time.\" Wyclif (Rom. viii. 18). To whom also he showed himself alive after his passion, by many infallible proofs. Acts i. 3. 2. The state of being acted upon; subjection to an external agent or influence; a passive condition; -- opposed to action. A body at rest affords us no idea of any active power to move, and, when set is motion, it is rather a passion than an action in it. Locke. 3. Capacity of being affected by external agents; susceptibility of impressions from external agents. [R.] Moldable and not moldable, scissible and not scissible, and many other passions of matter. Bacon. 4. The state of the mind when it is powerfully acted upon and influenced by something external to itself; the state of any particular faculty which, under such conditions, becomes extremely sensitive or uncontrollably excited; any emotion or sentiment (specifically, love or anger) in a state of abnormal or controlling activity; an extreme or inordinate desire; also, the capacity or susceptibility of being so affected; as, to be in a passion; the passions of love, hate, jealously, wrath, ambition, avarice, fear, etc.; a passion for war, or for drink; an orator should have passion as well as rhetorical skill. \"A passion fond even to idolatry.\" Macaulay. \"Her passion is to seek roses.\" Lady M. W. Montagu. We also are men of like passions with you. Acts xiv. 15. The nature of the human mind can not be sufficiently understood, without considering the affections and passions, or those modifications or actions of the mind consequent upon the apprehension of certain objects or events in which the mind generally conceives good or evil. Hutcheson. The term passion, and its adverb passionately, often express a very strong predilection for any pursuit, or object of taste -- a kind of enthusiastic fondness for anything. Cogan. The bravery of his grief did put me Into a towering passion. Shak. The ruling passion, be it what it will, The ruling passion conquers reason still. Pope. Who walked in every path of human life, Felt every passion. Akenside. When statesmen are ruled by faction and interest, they can have no passion for the glory of their country. Addison. 5. Disorder of the mind; madness. [Obs.] Shak. 6. Passion week. See Passion week, below. R. of Gl. Passion flower (Bot.), any flower or plant of the genus Passiflora; -- so named from a fancied resemblance of parts of the flower to the instruments of our Savior's crucifixion. Note: The flowers are showy, and the fruit is sometimes highly esteemed (see Granadilla, and Maypop). The roots and leaves are generally more or less noxious, and are used in medicine. The plants are mostly tendril climbers, and are commonest in the warmer parts of America, though a few species are Asiatic or Australian. Passion music (Mus.), originally, music set to the gospel narrative of the passion of our Lord; after the Reformation, a kind of oratorio, with narrative, chorals, airs, and choruses, having for its theme the passion and crucifixion of Christ. -- Passion play, a mystery play, in which the scenes connected with the passion of our Savior are represented dramatically. -- Passion Sunday (Eccl.), the fifth Sunday in Lent, or the second before Easter. -- Passion Week, the last week but one in Lent, or the second week preceding Easter. \"The name of Passion week is frequently, but improperly, applied to Holy Week.\" Shipley. Syn. -- Passion, Feeling, Emotion. When any feeling or emotion completely masters the mind, we call it a passion; as, a passion for music, dress, etc.; especially is anger (when thus extreme) called passion. The mind, in such cases, is considered as having lost its self- control, and become the passive instrument of the feeling in question.\n\nTo give a passionate character to. [R.] Keats.\n\nTo suffer pain or sorrow; to experience a passion; to be extremely agitated. [Obs.] \"Dumbly she passions, frantically she doteth.\" Shak."]
["fishgig","A spear with barbed prongs used for harpooning fish. Knight."]
["laugh","1. To show mirth, satisfaction, or derision, by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat; to indulge in laughter. Queen Hecuba laughed that her eyes ran o'er. Shak. He laugheth that winneth. Heywood's Prov. 2. Fig.: To be or appear gay, cheerful, pleasant, mirthful, lively, or brilliant; to sparkle; to sport. Then laughs the childish year, with flowerets crowned. Dryden. In Folly's cup still laughs the bubble Joy. Pope. To laugh at, to make an object of laughter or ridicule; to make fun of; to deride. No wit to flatter left of all his store, No fool to laugh at, which he valued more. Pope. -- To laugh in the sleeve, to laugh secretly, or so as not to be observed, especially while apparently preserving a grave or serious demeanor toward the person or persons laughed at. -- To laugh out, to laugh in spite of some restraining influence; to laugh aloud. -- To laugh out of the other corner (or side) of the mouth, to weep or cry; to feel regret, vexation, or disappointment after hilarity or exaltation. [Slang]\n\n1. To affect or influence by means of laughter or ridicule. Will you laugh me asleep, for I am very heavy Shak. I shall laugh myself to death. Shak. 2. To express by, or utter with, laughter; -- with out. From his deep chest laughs out a loud applause. Shak. To laugh away. (a) To drive away by laughter; as, to laugh away regret. (b) To waste in hilarity. \"Pompey doth this day laugh away his fortune.\" Shak. -- To laugh down. (a) To cause to cease or desist by laughter; as, to laugh down a speaker. (b) To cause to be given up on account of ridicule; as, to laugh down a reform. -- To laugh one out of, to cause one by laughter or ridicule to abandon or give up; as, to laugh one out of a plan or purpose. -- To laugh to scorn, to deride; to treat with mockery, contempt, and scorn; to despise.\n\nAn expression of mirth peculiar to the human species; the sound heard in laughing; laughter. See Laugh, v. i. And the loud laugh that spoke the vacant mind. Goldsmith. That man is a bad man who has not within him the power of a hearty laugh. F. W. Robertson."]
["demoniacism","The state of being demoniac, or the practices of demoniacs."]
["fehling","See Fehling's solution, under Solution."]
["emendable","Corrigible; amendable. [R.] Bailey."]
["unthriftily","1. Not thriftily. 2. Improperly; unbecomingly. [Obs.] Chaucer."]
["cataractous","Of the nature of a cataract in the eye; affected with cataract."]
["royalization","The act of making loyal to a king. [R.] Saintsbury."]
["resiliency","1. The act of resiling, springing back, or rebounding; as, the resilience of a ball or of sound. 2. (Mech. & Engyn.)  The mechanical work required to strain an elastic body, as a deflected beam, stretched spring, etc., to the elastic limit; also, the work performed by the body in recovering from such strain."]
["scratch coat","The first coat in plastering; -- called also scratchwork. See Pricking-up."]
["molybdenite","A mineral occurring in soft, lead-gray, foliated masses or scales, resembling graphite; sulphide of molybdenum."]
["mycomelic","Pertaining to, or designating, a complex nitrogenous acid of the alloxan group, obtained as a honey-yellow powder. Its solutions have a gelatinous consistency."]
["decennovary","Pertaining to the number nineteen; of nineteen years. [R.] Holder."]
["shash","1. The scarf of a turban. [Obs.] Fuller. 2. A sash. [Obs.]"]
["soonee","See Sunnite."]
["biophore","One of the smaller vital units of a cell, the bearer of vitality and heredity. See Pangen, in Supplement."]
["aristotelic","Pertaining to Aristotle or to his philosophy. \"Aristotelic usage.\" Sir W. Hamilton. ARISTOTLE'S LANTERN Ar\"is*to`tle's lan\"tern. (Zoöl.)  The five united jaws and accessory ossicles of certain sea urchins."]
["tempered","Brought to a proper temper; as, tempered steel; having (such) a temper; -- chiefly used in composition; as, a good-tempered or bad- tempered man; a well-tempered sword."]
["enemy","One hostile to another; one who hates, and desires or attempts the injury of, another; a foe; an adversary; as, an enemy of or to a person; an enemy to truth, or to falsehood. To all good he enemy was still. Spenser. I say unto you, Love your enemies. Matt. v. 44. The enemy (Mil.), the hostile force. In this sense it is construed with the verb and pronoun either in the singular or the plural, but more commonly in the singular; as, we have met the enemy and he is ours or they are ours. It was difficult in such a country to track the enemy. It was impossible to drive him to bay. Macaulay. Syn. -- Foe; antagonist; opponent. See Adversary.\n\nHostile; inimical. [Obs.] They . . . every day grow more enemy to God. Jer. Taylor."]
["literalness","The quality or state of being literal; literal import."]
["epipharynx","A structure which overlaps the mouth of certain insects."]
["tetrarchate","A tetrarchy."]
["gospelize","1. To form according to the gospel; as, a command gospelized to us. Milton. 2. To instruct in the gospel; to evangelize; as, to gospelize the savages. Boyle."]
["foretaste","A taste beforehand; enjoyment in advance; anticipation.\n\n1. To taste before full possession; to have previous enjoyment or experience of; to anticipate. 2. To taste before another. \"Foretasted fruit.\" Milton."]
["tetrakosane","A hydrocarbon, C24H50, resembling paraffin, and like it belonging to the marsh-gas series; -- so called from having twenty- four atoms of carbon in the molecule."]
["kish","A workman's name for the graphite which forms incidentally in iron smelting."]
["intuition","1. A looking after; a regard to. [Obs.] What, no reflection on a reward! He might have an intuition at it, as the encouragement, though not the cause, of his pains. Fuller. 2. Direct apprehension or cognition; immediate knowledge, as in perception or consciousness; -- distinguished from \"mediate\" knowledge, as in reasoning; as, the mind knows by intuition that black is not white, that a circle is not a square, that three are more than two, etc.; quick or ready insight or apprehension. Sagacity and a nameless something more, -- let us call it intuition. Hawthorne. 3. Any object or truth discerned by direct cognition; especially, a first or primary truth."]
["warder","1. One who wards or keeps; a keeper; a guard. \"The warders of the gate.\" Dryden. 2. A truncheon or staff carried by a king or a commander in chief, and used in signaling his will. When, lo! the king suddenly changed his mind, Casts down his warder to arrest them there. Daniel. Wafting his warder thrice about his head, He cast it up with his auspicious hand, Which was the signal, through the English spread, This they should charge. Drayton."]
["eringo","The sea holly. See Eryngo."]
["wallet","1. A bag or sack for carrying about the person, as a bag for carrying the necessaries for a journey; a knapsack; a beggar's receptacle for charity; a peddler's pack. [His hood] was trussed up in his walet. Chaucer. 2. A pocketbook for keeping money about the person. 3. Anything protuberant and swagging. \"Wallets of flesh.\" Shak."]
["accoil","1. To gather together; to collect. [Obs.] Spenser. 2. (Naut.)  To coil together. Ham. Nav. Encyc."]
["symmetral","Commensurable; symmetrical. [Obs.] Dr. H. More."]
["equability","The quality or condition of being equable; evenness or uniformity; as, equability of temperature; the equability of the mind. For the celestial bodies, the equability and constancy of their motions argue them ordained by wisdom. Ray."]
["rapidity","The quality or state of being rapid; swiftness; celerity; velocity; as, the rapidity of growth or improvement. Syn. -- -- Rapidness; haste; speed; celerity; velocity; swiftness; fleetness; quickness; agility."]
["curdless","Destitute of curd."]
["four-cornered","Having four corners or angles."]
["relucent","Reflecting light; shining; glittering; glistening; bright; luminous; splendid. Gorgeous banners to the sun expand Their streaming volumes of relucent gold. Glover."]
["wade","Woad. [Obs.] Mortimer.\n\n1. To go; to move forward. [Obs.] When might is joined unto cruelty, Alas, too deep will the venom wade. Chaucer. Forbear, and wade no further in this speech. Old Play. 2. To walk in a substance that yields to the feet; to move, sinking at each step, as in water, mud, sand, etc. So eagerly the fiend . . . With head, hands, wings, or feet, pursues his way, And swims, or sinks, or wades, or creeps, or flies. Milton. 3. Hence, to move with difficulty or labor; to proceed as, to wade through a dull book. And wades through fumes, and gropes his way. Dryden. The king's admirable conduct has waded through all these difficulties. Davenant.\n\nTo pass or cross by wading; as, he waded .\n\nThe act of wading. [Colloq.]"]
["anchylosis","1. (Med.)  Stiffness or fixation of a joint; formation of a stiff joint. Dunglison. 2. (Anat.)  The union of two or more separate bones to from a single bone; the close union of bones or other structures in various animals."]
["incorporealism","Existence without a body or material form; immateriality. Cudworth."]
["solitarian","A hermit; a solitary. [Obs.] Sir R. Twisden."]
["comatous","Comatose."]
["bonnaz","A kind of embroidery made with a complicated sewing machine, said to have been originally invented by a Frenchman of the name of Bonnaz. The work is done either in freehand or by following a perforated design."]
["fitter","1. One who fits or makes to fit; esp.: (a) One who tries on, and adjusts, articles of dress. (b) One who fits or adjusts the different parts of machinery to each other. 2. A coal broker who conducts the sales between the owner of a coal pit and the shipper. [Eng.] Simmonds.\n\nA little piece; a flitter; a flinder. [Obs.] Where's the Frenchman Alas, he's all fitters. Beau. & Fl."]
["registrant","One who registers; esp., one who , by virtue of securing an official registration, obtains a certain right or title of possession, as to a trade-mark."]
["elenchize","To dispute. [R.] B. Jonson."]
["posteriority","The state of being later or subsequent; as, posteriority of time, or of an event; -- opposed to priority."]
["ye","an old method of printing the article the (AS. þe), the \"y\" being used in place of the Anglo-Saxon thorn. It is sometimes incorrectly pronounced ye. See The, and Thorn, n., 4.\n\nAn eye. [Obs.] From his yën ran the water down. Chaucer.\n\nThe plural of the pronoun of the second person in the nominative case. Ye ben to me right welcome heartily. Chaucer. But ye are washed, but ye are sanctified. 1 Cor. vi. 11. This would cost you your life in case ye were a man. Udall. Note: In Old English ye was used only as a nominative, and you only as a dative or objective. In the 16th century, however, ye and you became confused and were often used interchangeably, both as nominatives and objectives, and you has now superseded ye except in solemn or poetic use. See You, and also the first Note under Thou. Vain pomp and glory of this world, I hate ye. Shak. I come, kind gentlemen, strange news to tell ye. Dryden.\n\nYea; yes. [Obs.] Chaucer."]
["macrencephalous","Having a large brain."]
["fata morgana","A kind of mirage by which distant objects appear inverted, distorted, displaced, or multiplied. It is noticed particularly at the Straits of Messina, between Calabria and Sicily."]
["slashy","Wet and dirty; slushy. [Prov. Eng.]"]
["commonweal","Commonwealth. Such a prince, So kind a father of the commonweal. Shak."]
["barricader","One who constructs barricades."]
["lavrock","Same as Laverock."]
["spire","To breathe. [Obs.] Shenstone.\n\n1. A slender stalk or blade in vegetation; as, a spire grass or of wheat. An oak cometh up a little spire. Chaucer. 2. A tapering body that shoots up or out to a point in a conical or pyramidal form. Specifically (Arch.), the roof of a tower when of a pyramidal form and high in proportion to its width; also, the pyramidal or aspiring termination of a tower which can not be said to have a roof, such as that of Strasburg cathedral; the tapering part of a steeple, or the steeple itself. \"With glistering spires and pinnacles adorned.\" Milton. A spire of land that stand apart, Cleft from the main. Tennyson. Tall spire from which the sound of cheerful bells Just undulates upon the listening ear. Cowper. 3. (Mining)  A tube or fuse for communicating fire to the chargen in blasting. 4. The top, or uppermost point, of anything; the summit. The spire and top of praises. Shak.\n\nTo shoot forth, or up in, or as if in, a spire. Emerson. It is not so apt to spire up as the other sorts, being more inclined to branch into arms. Mortimer.\n\n1. A spiral; a curl; a whorl; a twist. Dryden. 2. (Geom.)  The part of a spiral generated in one revolution of the straight line about the pole. See Spiral, n. Spire bearer. (Paleon.) Same as Spirifer."]
["bete noire","Something especially hated or dreaded; a bugbear."]
["yestreen","Yester-evening; yesternight; last night. [R. or Scot.] Yestreen I did not know How largely I could live. Bp. Coxe."]
["circumferentor","1. A surveying instrument, for taking horizontal angles and bearings; a surveyor's compass. It consists of a compass whose needle plays over a circle graduated to 360º, and of a horizontal brass bar at the ends of which are standards with narrow slits for sighting, supported on a tripod by a ball and socket joint. 2. A graduated wheel for measuring tires; a tire circle."]
["preservable","Capable of being preserved; admitting of preservation."]
["tolutation","A pacing or ambling. [Obs.] Sir T. Browne."]
["reattempt","To attempt again."]
["namely","1. By name; by particular mention; specifically; especially; expressly. [Obs.] Chaucer. The solitariness of man ...God hath namely and principally ordered to prevent by marriage. Milton. 2. That is to say; to wit; videlicet; -- introducing a particular or specific designation. For the excellency of the soul, namely, its power of divining dreams; that several such divinations have been made, none Addison."]
["protophyte","Any unicellular plant, or plant forming only a plasmodium, having reproduction only by fission, gemmation, or cell division. Note: The protophytes (Protophyta) are by some botanists considered an independent branch or class of the vegetable kingdom, and made to include the lowest forms of both fungi and algæ, as slime molds, Bacteria, the nostocs, etc. Cf. Carpophyte, and Oöphyte."]
["briefness","The quality of being brief; brevity; conciseness in discourse or writing."]
["radiophare","A radiotelegraphic station serving solely for determining the position of ships. The radius of operation of such stations was restricted by the International Radiotelegraphic Convention (1912) to 30 nautical miles."]
["autographical","1. Pertaining to an autograph, or one's own handwriting; of the nature of an autograph. 2. Pertaining to, or used in, the process of autography; as, autographic ink, paper, or press."]
["emption","The act of buying. [R.] Arbuthnot."]
["cottonseed","The seed of the cotton plant."]
["printshop","A shop where prints are sold."]
["relodge","To lodge again."]
["intermedious","Intermediate. [R.] Cudworth."]
["dorrfly","See 1st Dor."]
["mumper","A beggar; a begging impostor. Deceived by the tales of a Lincoln's Inn mumper. Macaulay."]
["volitional","Belonging or relating to volition. \"The volitional impulse.\" Bacon."]
["cespitose","Having the form a piece of turf, i. e., many stems from one rootstock or from many entangled rootstocks or roots. [Written also cæspitose.]"]
["encense","To offer incense to or upon; to burn incense. [Obs.] Chaucer."]
["rombowline","Old, condemned canvas, rope, etc., unfit for use except in chafing gear. [Written also rumbowline.]"]
